HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
Mauritanie,Gambie,2021,0,1,1
Gambie,Mali,2021,1,1,2
Tunisie,Mauritanie,2021,4,0,4
Gambie,Tunisie,2021,1,0,1
Mali,Mauritanie,2021,2,0,2
Burkina Faso,Gabon,2021,1,1,2
Nigeria,Tunisie,2021,0,1,1
Guinée,Gambie,2021,0,1,1
Cameroun,Comores,2021,2,1,3
Sénégal,Cap-Vert,2021,2,0,2
Maroc,Malawi,2021,2,1,3
Côte d'Ivoire,Égypte,2021,0,0,0
Mali,Guinée équatoriale,2021,0,0,0
Gambie,Cameroun,2021,0,2,2
Burkina Faso,Tunisie,2021,1,0,1
Égypte,Maroc,2021,2,1,3
Sénégal,Guinée équatoriale,2021,3,1,4
Burkina Faso,Sénégal,2021,1,3,4
Cameroun,Égypte,2021,0,0,0
Burkina Faso,Cameroun,2021,3,3,6
Sénégal,Égypte,2021,0,0,0
Côte d'Ivoire,Guinée-Bissau,2023,2,0,2
Nigeria,Guinée équatoriale,2023,1,1,2
Guinée équatoriale,Guinée-Bissau,2023,4,2,6
Côte d'Ivoire,Nigeria,2023,0,1,1
Guinée-Bissau,Nigeria,2023,0,1,1
Guinée équatoriale,Côte d'Ivoire,2023,4,0,4
Égypte,Mozambique,2023,2,2,4
Ghana,Cap-Vert,2023,1,2,3
Égypte,Ghana,2023,2,2,4
Cap-Vert,Mozambique,2023,3,0,3
Mozambique,Ghana,2023,2,2,4
Cap-Vert,Égypte,2023,2,2,4
Sénégal,Gambie,2023,3,0,3
Cameroun,Guinée,2023,1,1,2
Sénégal,Cameroun,2023,3,1,4
Guinée,Gambie,2023,1,0,1
Guinée,Sénégal,2023,0,2,2
Gambie,Cameroun,2023,2,3,5
Algérie,Angola,2023,1,1,2
Burkina Faso,Mauritanie,2023,1,0,1
Algérie,Burkina Faso,2023,2,2,4
Mauritanie,Angola,2023,2,3,5
Angola,Burkina Faso,2023,2,0,2
Mauritanie,Algérie,2023,1,0,1
Tunisie,Namibie,2023,0,1,1
Mali,Afrique du Sud,2023,2,0,2
Tunisie,Mali,2023,1,1,2
Afrique du Sud,Namibie,2023,4,0,4
Namibie,Mali,2023,0,0,0
Afrique du Sud,Tunisie,2023,0,0,0
Maroc,Tanzanie,2023,3,0,3
RD Congo,Zambie,2023,1,1,2
Maroc,RD Congo,2023,1,1,2
Zambie,Tanzanie,2023,1,1,2
Tanzanie,RD Congo,2023,0,0,0
Zambie,Maroc,2023,0,1,1
Angola,Namibie,2023,3,0,3
Nigeria,Cameroun,2023,2,0,2
Guinée équatoriale,Guinée,2023,0,1,1
Égypte,RD Congo,2023,1,1,2
Cap-Vert,Mauritanie,2023,1,0,1
Sénégal,Côte d'Ivoire,2023,1,1,2
Mali,Burkina Faso,2023,2,1,3
Maroc,Afrique du Sud,2023,0,2,2
Nigeria,Angola,2023,1,0,1
RD Congo,Guinée,2023,3,1,4
Mali,Côte d'Ivoire,2023,1,2,3
Cap-Vert,Afrique du Sud,2023,0,0,0
Nigeria,Afrique du Sud,2023,1,1,2
Côte d'Ivoire,RD Congo,2023,1,0,1
Afrique du Sud,RD Congo,2023,0,0,0
Nigeria,Côte d'Ivoire,2023,1,2,3
